transaction_id,store_id,comuna,date,category,units_sold,unit_price,payment_method,customer_rating,store_lat,store_lon
T00023,S03,Belén,2025-05-14,Snacks,4,1300.0,Tarjeta,4,6.22549,-75.60988
T00024,S06,Buenos Aires,2025-03-08,Pasteles,3,6600.0,App,,6.22747,-75.55374
T00025,S08,Castilla,2025-05-11,Snacks,5,2700.0,Tarjeta,4,6.29189,-75.57393
T00026,S07,Aranjuez,2025-03-16,Pan,5,1800.0,Tarjeta,5,6.27398,-75.55521
T00027,S08,Castilla,2025-04-23,Pan,4,2400.0,App,,6.29544,-75.57387
T00028,S05,Envigado,2025-02-16,Snacks,4,1700.0,Tarjeta,4,6.17177,-75.58026
T00029,S08,Castilla,2025-06-16,Pan,5,2100.0,Tarjeta,4,6.29321,-75.57333
T00030,S08,Castilla,2025-01-25,Bebidas,4,4000.0,Efectivo,4,6.29288,-75.57627
T00031,S07,Aranjuez,2025-04-26,Pasteles,1,4400.0,Efectivo,4,6.27451,-75.55666
T00032,S02,Laureles,2025-04-26,Pan,2,3200.0,App,3,6.2448,-75.58869
T00033,S02,Laureles,2025-03-05,Pasteles,3,3700.0,Efectivo,3,6.24475,-75.59102
T00034,S01,El Poblado,2025-06-21,Bebidas,1,3600.0,App,,6.20955,-75.56826
T00035,S06,Buenos Aires,2025-01-02,Pasteles,3,8600.0,Tarjeta,3,6.22451,-75.556
T00036,S08,Castilla,2025-05-20,Pasteles,4,3500.0,Efectivo,3,6.29288,-75.57353
T00037,S08,Castilla,2025-06-03,Pasteles,3,3900.0,App,5,6.29388,-75.57563
T00038,S05,Envigado,2025-04-17,Pan,3,2400.0,App,5,6.17235,-75.58255
T00039,S03,Belén,2025-05-31,Pasteles,2,8200.0,Tarjeta,4,6.22838,-75.6128
T00040,S07,Aranjuez,2025-02-08,Snacks,4,1600.0,App,,6.27481,-75.55503
T00041,S04,Robledo,2025-01-04,Snacks,1,2500.0,Efectivo,3,6.27215,-75.59449
T00042,S07,Aranjuez,2025-01-14,Pan,5,3200.0,Tarjeta,3,6.27164,-75.5579
T00043,S06,Buenos Aires,2025-01-07,Pan,4,2500.0,App,2,6.2246,-75.55564
T00044,S08,Castilla,2025-06-24,Bebidas,3,3100.0,Tarjeta,,6.29181,-75.57625
T00045,S08,Castilla,2025-02-01,Bebidas,3,3700.0,Tarjeta,5,6.29209,-75.57409
T00046,S08,Castilla,2025-02-09,Pasteles,4,8200.0,App,4,6.29409,-75.57488
T00047,S04,Robledo,2025-06-09,Snacks,2,3200.0,Tarjeta,1,6.271,-75.59237
T00048,S08,Castilla,2025-06-23,Pasteles,4,3500.0,App,3,6.29252,-75.57347
T00049,S02,Laureles,2025-01-09,Snacks,2,1300.0,Efectivo,4,6.24459,-75.59051
T00050,S03,Belén,2025-06-15,Pan,2,3000.0,App,,6.2267,-75.61052
T00051,S01,El Poblado,2025-06-14,Snacks,2,2700.0,Efectivo,4,6.2076,-75.56728
T00052,S08,Castilla,2025-02-03,Pan,5,1500.0,App,4,6.29374,-75.57429
T00053,S04,Robledo,2025-02-11,Pasteles,1,6000.0,App,4,6.27333,-75.59464
T00054,S03,Belén,2025-03-11,Snacks,2,2000.0,Tarjeta,4,6.22766,-75.61311
T00055,S07,Aranjuez,2025-04-09,Pan,3,2800.0,Tarjeta,4,6.27257,-75.5557
T00056,S03,Belén,2025-02-14,Bebidas,5,5400.0,Tarjeta,,6.22622,-75.61015
T00057,S08,Castilla,2025-04-17,Snacks,6,2600.0,Tarjeta,4,6.29569,-75.57501
T00058,S08,Castilla,2025-03-25,Pasteles,4,8200.0,App,4,6.29188,-75.57567
T00059,S08,Castilla,2025-01-31,Snacks,5,2100.0,App,5,6.29219,-75.57576
T00060,S05,Envigado,2025-02-24,Pan,3,1800.0,Efectivo,4,6.17332,-75.583
T00061,S01,El Poblado,2025-04-27,Pan,6,3300.0,App,,6.21035,-75.56836
T00062,S06,Buenos Aires,2025-05-20,Snacks,5,3900.0,App,2,6.22586,-75.55531
T00063,S03,Belén,2025-04-01,Pan,6,2200.0,Efectivo,4,6.22698,-75.61332
T00064,S06,Buenos Aires,2025-01-29,Pasteles,3,3300.0,App,,6.22404,-75.55372
T00065,S05,Envigado,2025-05-26,Pasteles,1,8500.0,Tarjeta,,6.17242,-75.58123
T00066,S05,Envigado,2025-01-26,Pasteles,2,5700.0,Tarjeta,3,6.16997,-75.58406
T00067,S02,Laureles,2025-02-13,Snacks,1,1100.0,Efectivo,5,6.24527,-75.589
T00068,S01,El Poblado,2025-02-17,Bebidas,3,3000.0,App,,6.20793,-75.56725
T00069,S02,Laureles,2025-03-12,Bebidas,5,2400.0,App,3,6.24491,-75.59132
T00070,S02,Laureles,2025-03-22,Bebidas,2,5600.0,Efectivo,3,6.24405,-75.5892
T00071,S05,Envigado,2025-01-17,Bebidas,2,5100.0,Efectivo,5,6.16992,-75.58212
T00072,S07,Aranjuez,2025-04-17,Bebidas,1,5800.0,Efectivo,,6.27194,-75.55516
T00073,S01,El Poblado,2025-03-02,Pan,6,3300.0,Efectivo,4,6.20991,-75.56979
T00074,S05,Envigado,2025-01-25,Pan,3,2200.0,App,3,6.16999,-75.58105
T00075,S06,Buenos Aires,2025-04-27,Bebidas,1,4800.0,App,5,6.22615,-75.55504
T00076,S01,El Poblado,2025-03-22,Snacks,3,3400.0,App,4,6.208835,-75.568265
T00077,S04,Robledo,2025-04-20,Snacks,2,2300.0,App,4,6.27194,-75.59256
T00078,S02,Laureles,2025-05-09,Bebidas,3,2600.0,App,1,6.24302,-75.59196
T00079,S05,Envigado,2025-03-16,Snacks,4,3200.0,Tarjeta,5,6.17211,-75.58337
T00080,S01,El Poblado,2025-01-07,Snacks,6,1500.0,Tarjeta,4,6.20811,-75.56633
T00081,S06,Buenos Aires,2025-02-01,Bebidas,4,5800.0,Tarjeta,4,6.2244,-75.55619
T00082,S07,Aranjuez,2025-05-30,Bebidas,1,2700.0,Efectivo,3,6.27199,-75.55755
T00083,S06,Buenos Aires,2025-05-24,Pasteles,1,9000.0,Efectivo,5,6.22715,-75.55446
T00084,S02,Laureles,2025-06-08,Pasteles,2,5350.0,Efectivo,5,6.24379,-75.59066
T00085,S02,Laureles,2025-02-02,Pan,6,2300.0,App,,6.243,-75.59169
T00086,S06,Buenos Aires,2025-01-08,Bebidas,3,2500.0,Tarjeta,4,6.22504,-75.5529
T00087,S03,Belén,2025-04-17,Bebidas,3,4700.0,Tarjeta,3,6.22657,-75.61065
T00088,S07,Aranjuez,2025-04-18,Pasteles,3,5350.0,App,,6.27208,-75.55705
T00089,S04,Robledo,2025-02-16,Pasteles,2,4400.0,App,5,6.27339,-75.59197
T00090,S01,El Poblado,2025-03-07,Snacks,2,3400.0,Efectivo,4,6.20912,-75.56971
T00091,S04,Robledo,2025-01-05,Pan,2,2650.0,Tarjeta,,6.27235,-75.59205
T00092,S08,Castilla,2025-03-09,Snacks,5,1900.0,Tarjeta,,6.29401,-75.57614
T00093,S03,Belén,2025-02-15,Pan,4,2900.0,App,,6.22451,-75.61327
T00094,S01,El Poblado,2025-03-29,Bebidas,1,2900.0,App,5,6.20921,-75.568
T00095,S06,Buenos Aires,2025-06-18,Pan,4,3200.0,Efectivo,,6.22385,-75.55435
T00096,S04,Robledo,2025-01-15,Snacks,6,1200.0,Efectivo,2,6.27379,-75.59134
T00097,S03,Belén,2025-04-03,Snacks,4,3900.0,Efectivo,3,6.22535,-75.61218
T00098,S05,Envigado,2025-02-21,Bebidas,1,4800.0,Tarjeta,4,6.17226,-75.58332
T00099,S06,Buenos Aires,2025-06-13,Snacks,1,2400.0,Tarjeta,5,6.22638,-75.55643
T00100,S08,Castilla,2025-02-18,Bebidas,1,5600.0,Efectivo,2,6.29467,-75.57312
T00101,S07,Aranjuez,2025-05-05,Pasteles,1,5000.0,Efectivo,4,6.27227,-75.55485
T00102,S06,Buenos Aires,2025-01-10,Snacks,4,2800.0,App,,6.22715,-75.55596
T00103,S03,Belén,2025-03-18,Pan,2,1700.0,Tarjeta,3,6.22689,-75.61153
T00104,S05,Envigado,2025-01-26,Pasteles,4,3900.0,Efectivo,5,6.17374,-75.5817
T00105,S04,Robledo,2025-05-27,Bebidas,1,5200.0,Efectivo,5,6.27361,-75.59339
T00106,S07,Aranjuez,2025-05-18,Snacks,1,1900.0,App,,6.27308,-75.5562
T00107,S03,Belén,2025-01-22,Pan,2,2100.0,Efectivo,,6.22646,-75.61176
T00108,S07,Aranjuez,2025-05-21,Bebidas,5,4900.0,Tarjeta,5,6.27126,-75.55625
T00109,S05,Envigado,2025-06-01,Pan,3,2700.0,App,4,6.17346,-75.58093
T00110,S04,Robledo,2025-03-16,Pasteles,4,4400.0,Tarjeta,4,6.27056,-75.59469
T00111,S05,Envigado,2025-02-04,Bebidas,3,3600.0,Tarjeta,,6.17245,-75.58045
T00112,S04,Robledo,2025-06-05,Pan,6,3000.0,App,4,6.27194,-75.59339
T00113,S08,Castilla,2025-04-02,Snacks,4,2700.0,App,4,6.29467,-75.57453
T00114,S03,Belén,2025-02-15,Pan,4,3400.0,Tarjeta,5,6.22559,-75.61256
T00115,S03,Belén,2025-01-08,Pasteles,1,5100.0,Efectivo,4,6.22744,-75.61014
T00116,S01,El Poblado,2025-01-17,Bebidas,3,3800.0,Tarjeta,5,6.21028,-75.56888
T00117,S05,Envigado,2025-05-17,Pasteles,3,4300.0,Efectivo,5,6.17203,-75.58377
T00118,S04,Robledo,2025-01-28,Pasteles,1,8500.0,Tarjeta,5,6.27179,-75.5912
T00119,S08,Castilla,2025-01-19,Pan,4,3300.0,Tarjeta,4,6.29496,-75.5731
T00120,S05,Envigado,2025-06-15,Bebidas,5,4700.0,Efectivo,2,6.17375,-75.58158
T00121,S06,Buenos Aires,2025-05-08,Snacks,3,2400.0,Efectivo,4,6.22652,-75.5558
T00122,S04,Robledo,2025-06-24,Bebidas,2,4200.0,Tarjeta,5,6.27184,-75.59454
T00123,S06,Buenos Aires,2025-01-18,Pan,5,2200.0,Efectivo,4,6.22573,-75.55494
T00124,S08,Castilla,2025-03-09,Bebidas,1,3800.0,App,2,6.29231,-75.57454
T00125,S04,Robledo,2025-03-25,Pasteles,2,5000.0,Tarjeta,5,6.27189,-75.59374
T00126,S06,Buenos Aires,2025-06-18,Bebidas,5,3900.0,Tarjeta,3,6.22756,-75.55456
T00127,S07,Aranjuez,2025-02-15,Bebidas,4,4000.0,Efectivo,1,6.27199,-75.55578
T00128,S08,Castilla,,Pasteles,3,7900.0,Tarjeta,4,6.29522,-75.57556
T00129,S06,Buenos Aires,2025-06-01,Snacks,1,3400.0,Tarjeta,5,6.22748,-75.55493
T00130,S04,Robledo,2025-04-24,Pasteles,3,4300.0,App,4,6.27029,-75.59436
T00131,S03,Belén,2025-03-10,Snacks,3,2200.0,Tarjeta,5,6.22497,-75.61139
T00132,S02,Laureles,2025-03-10,Bebidas,5,2100.0,Tarjeta,4,6.24547,-75.58878
T00133,S05,Envigado,2025-05-20,Pasteles,3,8800.0,App,5,6.17164,-75.58262
T00134,S05,Envigado,2025-03-26,Pasteles,2,8700.0,Efectivo,5,6.17353,-75.58335
T00135,S02,Laureles,2025-03-17,Bebidas,3,5500.0,App,3,6.24303,-75.59194
T00136,S08,Castilla,2025-04-13,Snacks,3,3300.0,Efectivo,5,6.29444,-75.57538
T00137,S06,Buenos Aires,2025-03-28,Snacks,5,1500.0,Efectivo,5,6.22521,-75.55561
T00138,S08,Castilla,2025-04-19,Pasteles,1,5700.0,Tarjeta,5,6.29441,-75.5757
T00139,S06,Buenos Aires,2025-04-13,Pan,4,1900.0,App,5,6.224,-75.55343
T00140,S03,Belén,2025-03-10,Pan,5,2400.0,App,4,6.22764,-75.60954
T00141,S05,Envigado,2025-03-27,Pasteles,4,4000.0,App,4,6.17127,-75.5818
T00142,S07,Aranjuez,2025-05-04,Snacks,6,3900.0,Tarjeta,3,6.27404,-75.55738
T00143,S01,El Poblado,2025-02-26,Pan,2,3400.0,App,4,6.20723,-75.56619
T00144,S02,Laureles,2025-03-25,Bebidas,2,2400.0,Efectivo,5,6.24486,-75.58993
T00145,S04,Robledo,2025-05-12,Snacks,6,2400.0,Tarjeta,4,6.27231,-75.59369
T00146,S06,Buenos Aires,2025-05-23,Pan,5,3000.0,App,4,6.22625,-75.55422
T00147,S04,Robledo,2025-01-25,Pan,4,2300.0,Efectivo,3,6.27143,-75.59384
T00148,S06,Buenos Aires,2025-04-29,Pasteles,4,8700.0,Efectivo,5,6.22765,-75.5557
T00149,S03,Belén,2025-01-22,Bebidas,4,2100.0,App,2,6.22777,-75.61337
T00150,S07,Aranjuez,2025-01-28,Pasteles,3,4600.0,Efectivo,3,6.2743,-75.55763
T00151,S05,Envigado,2025-01-12,Snacks,4,3300.0,Efectivo,3,6.17337,-75.58254
T00152,S04,Robledo,2025-06-18,Snacks,5,2700.0,App,4,6.27306,-75.59377
T00153,S06,Buenos Aires,2025-03-30,Bebidas,3,2500.0,Tarjeta,2,6.22598,-75.55577
T00154,S08,Castilla,2025-05-06,Bebidas,4,4800.0,Tarjeta,4,6.29204,-75.57479
T00155,S05,Envigado,2025-06-14,Pan,2,2700.0,Tarjeta,5,6.17178,-75.58209
T00156,S03,Belén,2025-05-04,Pan,6,3200.0,Tarjeta,,6.22738,-75.61254
T00157,S05,Envigado,2025-02-20,Snacks,4,3400.0,Tarjeta,3,6.17103,-75.58336
T00158,S05,Envigado,2025-03-19,Snacks,3,2500.0,Efectivo,4,6.17246,-75.58382
T00159,S01,El Poblado,2025-01-17,Snacks,4,3900.0,App,4,6.20821,-75.56966
T00160,S05,Envigado,2025-06-07,Snacks,2,1200.0,Efectivo,5,6.17352,-75.58354
T00161,S06,Buenos Aires,2025-03-23,Snacks,5,3300.0,App,4,6.22662,-75.55344
T00162,S06,Buenos Aires,2025-02-16,Bebidas,3,5700.0,Efectivo,5,6.22503,-75.55268
T00163,S03,Belén,2025-05-16,Bebidas,2,4700.0,App,4,6.22523,-75.60966
T00164,S07,Aranjuez,2025-06-05,Pan,3,2900.0,Efectivo,2,6.27337,-75.55758
T00165,S01,El Poblado,2025-03-03,Snacks,1,3000.0,Efectivo,4,6.21053,-75.56963
T00166,S07,Aranjuez,2025-05-12,Pasteles,4,4900.0,Efectivo,5,6.27435,-75.55647
T00167,S05,Envigado,2025-02-04,Snacks,6,3200.0,App,3,6.17139,-75.58283
T00168,S06,Buenos Aires,2025-06-16,Bebidas,4,5500.0,Tarjeta,3,6.22724,-75.55628
T00169,S04,Robledo,2025-06-05,Pasteles,1,6700.0,App,2,6.27022,-75.59341
T00170,S03,Belén,2025-02-03,Pasteles,3,7600.0,App,5,6.22765,-75.61107
T00171,S01,El Poblado,2025-03-13,Pan,4,2600.0,Tarjeta,4,6.20937,-75.56832
T00172,S03,Belén,2025-03-10,Pasteles,1,5200.0,App,5,6.22513,-75.61265
T00173,S06,Buenos Aires,2025-04-28,Pasteles,4,8600.0,Efectivo,4,6.22645,-75.55354
T00174,S03,Belén,2025-02-17,Pan,6,2650.0,App,5,6.22795,-75.61294
T00175,S03,Belén,2025-06-14,Snacks,5,3800.0,App,4,6.22604,-75.61298
T00176,S08,Castilla,2025-03-18,Pan,6,2100.0,Efectivo,5,6.29537,-75.5748
T00177,S06,Buenos Aires,2025-04-30,Pan,5,2800.0,App,3,6.22539,-75.55543
T00178,S07,Aranjuez,2025-03-25,Pasteles,3,6200.0,Efectivo,4,6.27467,-75.55695
T00179,S01,El Poblado,2025-01-02,Snacks,3,3300.0,Efectivo,5,6.20927,-75.56811
T00180,S02,Laureles,2025-05-31,Bebidas,5,3200.0,App,5,6.24352,-75.59165
T00181,S05,Envigado,2025-01-08,Bebidas,5,5500.0,Efectivo,2,6.17158,-75.58231
T00182,S04,Robledo,2025-04-19,Pan,5,2300.0,App,5,6.27268,-75.5929
T00183,S07,Aranjuez,2025-02-13,Pasteles,1,3300.0,Efectivo,4,6.27141,-75.55508
T00184,S04,Robledo,,Snacks,6,3800.0,Tarjeta,3,6.26994,-75.59257
T00185,S03,Belén,2025-04-19,Snacks,3,2000.0,Tarjeta,4,6.2262,-75.6112
T00186,S06,Buenos Aires,2025-03-21,Pasteles,4,6700.0,App,5,6.22485,-75.55624
T00187,S08,Castilla,2025-01-24,Snacks,4,1800.0,Efectivo,,6.29313,-75.57417
T00188,S04,Robledo,2025-01-21,Pan,5,2000.0,Tarjeta,4,6.27362,-75.59348
T00189,S03,Belén,2025-02-14,Pan,2,3400.0,Efectivo,5,6.2253,-75.6115
T00190,S07,Aranjuez,2025-04-20,Pasteles,2,3800.0,Efectivo,4,6.27415,-75.55504
T00191,S03,Belén,2025-03-15,Bebidas,2,4400.0,App,4,6.22655,-75.61135
T00192,S06,Buenos Aires,2025-01-03,Snacks,3,2000.0,Tarjeta,3,6.22399,-75.55523
T00193,S08,Castilla,2025-04-01,Bebidas,1,5600.0,Tarjeta,4,6.29177,-75.57482
T00194,S03,Belén,2025-02-06,Pan,6,3000.0,App,4,6.22622,-75.61044
T00195,S04,Robledo,,Bebidas,1,3900.0,Tarjeta,5,6.27175,-75.59252
T00196,S01,El Poblado,2025-03-07,Bebidas,1,4800.0,App,3,6.20819,-75.56645
T00197,S02,Laureles,2025-04-30,Snacks,2,3000.0,Tarjeta,5,6.24606,-75.58803
T00198,S02,Laureles,2025-03-17,Bebidas,1,3900.0,Efectivo,5,6.24418,-75.58869
T00199,S02,Laureles,2025-01-18,Pan,5,2900.0,App,5,6.2443,-75.59077
T00200,S08,Castilla,2025-04-09,Pan,3,2100.0,App,4,6.29214,-75.57636
T00201,S08,Castilla,2025-05-19,Snacks,4,2500.0,Efectivo,5,6.29182,-75.57677
T00202,S03,Belén,2025-02-04,Bebidas,3,5800.0,Efectivo,5,6.22723,-75.60962
T00203,S02,Laureles,2025-01-24,Snacks,1,1000.0,Efectivo,5,6.24324,-75.59195
T00204,S05,Envigado,2025-01-12,Pan,6,2200.0,App,4,6.1712,-75.58241
T00205,S02,Laureles,2025-03-27,Pan,5,2700.0,App,4,6.24254,-75.58803
T00206,S03,Belén,2025-05-01,Bebidas,2,4900.0,Efectivo,5,6.22691,-75.61196
T00207,S06,Buenos Aires,2025-06-26,Snacks,3,1500.0,Efectivo,5,6.22531,-75.55271
T00208,S07,Aranjuez,2025-05-12,Pasteles,3,3500.0,Tarjeta,5,6.2746,-75.55619
T00209,S07,Aranjuez,2025-05-06,Pan,4,2500.0,Efectivo,5,6.27478,-75.5572
T00210,S03,Belén,2025-02-18,Snacks,2,1100.0,Efectivo,,6.22705,-75.61156
T00211,S08,Castilla,2025-05-04,Snacks,3,3900.0,App,5,6.29268,-75.57529
T00212,S01,El Poblado,2025-02-25,Snacks,6,2700.0,Tarjeta,,6.20859,-75.56698
T00213,S01,El Poblado,2025-02-05,Snacks,3,3800.0,Tarjeta,4,6.208,-75.5662
T00214,S04,Robledo,2025-03-10,Bebidas,5,3900.0,Tarjeta,5,6.27289,-75.5922
T00215,S01,El Poblado,2025-06-04,Bebidas,1,3600.0,App,4,6.20952,-75.5691
T00216,S03,Belén,2025-05-25,Pan,5,2700.0,Tarjeta,2,6.2255,-75.61292
T00217,S04,Robledo,2025-05-22,Pan,5,3300.0,Efectivo,4,6.27137,-75.59129
T00218,S08,Castilla,2025-01-29,Snacks,4,3500.0,Efectivo,4,6.29217,-75.57412
T00219,S07,Aranjuez,2025-01-02,Snacks,6,2100.0,Efectivo,3,6.27393,-75.55562
T00220,S04,Robledo,2025-03-09,Pan,6,3100.0,Efectivo,4,6.27131,-75.59471
T00221,S05,Envigado,2025-01-22,Bebidas,1,3900.0,Tarjeta,5,6.17379,-75.58094
T00222,S03,Belén,2025-02-25,Pan,6,3400.0,App,5,6.22652,-75.60994
T00223,S02,Laureles,2025-05-21,Snacks,6,1300.0,App,4,6.24452,-75.5892
T00224,S01,El Poblado,2025-06-27,Bebidas,2,6000.0,Tarjeta,5,6.21063,-75.56951
T00225,S01,El Poblado,2025-06-16,Pasteles,3,3300.0,App,,6.20961,-75.56702
T00226,S08,Castilla,2025-03-16,Pan,2,2400.0,Efectivo,4,6.29322,-75.57384
T00227,S03,Belén,2025-03-13,Pan,5,3500.0,Efectivo,5,6.22785,-75.61199
T00228,S01,El Poblado,2025-06-08,Bebidas,5,5400.0,App,3,6.20924,-75.56631
T00229,S01,El Poblado,,Snacks,6,4000.0,Efectivo,4,6.21058,-75.56949
T00230,S03,Belén,2025-05-07,Pasteles,4,5000.0,Efectivo,4,6.22508,-75.60966
T00231,S06,Buenos Aires,2025-05-18,Pasteles,1,4000.0,Tarjeta,4,6.2268,-75.55475
T00232,S08,Castilla,2025-03-04,Pan,3,2200.0,Efectivo,5,6.29276,-75.57344
T00233,S01,El Poblado,2025-04-09,Snacks,1,2800.0,App,,6.20808,-75.56894
T00234,S02,Laureles,2025-06-22,Snacks,3,3100.0,App,,6.24538,-75.59016
T00235,S03,Belén,2025-03-02,Pasteles,4,7600.0,Efectivo,3,6.22734,-75.61
T00236,S04,Robledo,2025-04-13,Bebidas,5,3900.0,Tarjeta,4,6.27086,-75.59445
T00237,S03,Belén,2025-01-24,Snacks,1,2400.0,Efectivo,2,6.22549,-75.61146
T00238,S06,Buenos Aires,2025-02-03,Pan,5,1700.0,App,4,6.22454,-75.55275
T00239,S04,Robledo,2025-06-27,Snacks,1,2500.0,Efectivo,,6.2734,-75.59431
T00240,S06,Buenos Aires,2025-05-07,Pasteles,4,7500.0,App,5,6.226,-75.55321
T00241,S02,Laureles,2025-01-01,Pasteles,3,4400.0,Tarjeta,5,6.24478,-75.58844
T00242,S02,Laureles,2025-06-11,Snacks,2,1300.0,Tarjeta,,6.24258,-75.58916
T00243,S06,Buenos Aires,2025-01-22,Bebidas,4,2900.0,App,4,6.22625,-75.55621
T00244,S01,El Poblado,2025-03-02,Bebidas,3,3900.0,Efectivo,5,6.21011,-75.56833
T00245,S07,Aranjuez,2025-03-19,Pasteles,4,5500.0,App,4,6.27475,-75.55636
T00246,S03,Belén,2025-05-17,Bebidas,3,2400.0,Efectivo,5,6.22744,-75.61113
T00247,S01,El Poblado,2025-02-14,Bebidas,2,4500.0,App,4,6.20853,-75.56762
T00248,S08,Castilla,2025-03-04,Pan,5,3100.0,App,4,6.29359,-75.57678
T00249,S08,Castilla,2025-06-05,Pasteles,4,5400.0,App,3,6.29313,-75.57589
T00250,S08,Castilla,2025-01-18,Pan,2,3500.0,Efectivo,5,6.29512,-75.57367
T00251,S01,El Poblado,2025-02-07,Bebidas,1,4100.0,Tarjeta,4,6.2073,-75.5697
T00252,S05,Envigado,2025-04-24,Pan,3,2700.0,App,3,6.17374,-75.58376
T00253,S05,Envigado,2025-04-08,Pasteles,2,4100.0,App,4,6.17224,-75.58026
T00254,S01,El Poblado,2025-05-31,Snacks,4,2600.0,Efectivo,,6.20676,-75.56703
T00255,S02,Laureles,2025-03-25,Pasteles,2,7400.0,Tarjeta,4,6.24368,-75.59148
T00256,S02,Laureles,2025-03-12,Snacks,6,3700.0,Tarjeta,5,6.24561,-75.58939
T00257,S08,Castilla,2025-03-06,Bebidas,5,2100.0,Tarjeta,3,6.29339,-75.57422
T00258,S07,Aranjuez,2025-03-17,Snacks,1,3600.0,Tarjeta,2,6.27312,-75.55653
T00259,S03,Belén,2025-06-06,Pan,3,2300.0,App,5,6.22819,-75.61333
T00260,S01,El Poblado,2025-02-24,Pasteles,2,5900.0,App,4,6.20897,-75.56621
T00261,S05,Envigado,2025-02-27,Snacks,2,3300.0,App,4,6.17081,-75.58298
T00262,S06,Buenos Aires,2025-01-26,Pasteles,4,5900.0,Efectivo,5,6.22382,-75.5525
T00263,S07,Aranjuez,2025-06-03,Pasteles,4,3300.0,Tarjeta,3,6.27433,-75.55739
T00264,S07,Aranjuez,2025-06-07,Pasteles,3,7500.0,App,5,6.27396,-75.55692
T00265,S05,Envigado,2025-06-27,Snacks,1,1300.0,Tarjeta,3,6.17136,-75.58092
T00266,S06,Buenos Aires,2025-03-04,Snacks,2,2800.0,Efectivo,5,6.22768,-75.55524
T00267,S05,Envigado,2025-06-09,Pan,4,1600.0,Efectivo,,6.1736,-75.58093
T00268,S05,Envigado,2025-04-21,Pasteles,3,6200.0,App,4,6.17099,-75.58353
T00269,S03,Belén,2025-04-07,Snacks,5,2200.0,App,4,6.22761,-75.60958
T00270,S08,Castilla,2025-06-06,Pan,2,2800.0,Tarjeta,4,6.29502,-75.57521
T00271,S01,El Poblado,2025-05-24,Bebidas,4,2100.0,Tarjeta,3,6.20784,-75.5683
T00272,S07,Aranjuez,2025-06-26,Pasteles,4,5350.0,App,5,6.27349,-75.55623
T00273,S05,Envigado,2025-03-31,Bebidas,1,5400.0,Tarjeta,3,6.17303,-75.58252
T00274,S04,Robledo,2025-04-18,Pan,6,2700.0,App,4,6.27377,-75.59386
T00275,S07,Aranjuez,2025-06-09,Snacks,6,2300.0,Tarjeta,2,6.27123,-75.55781
T00276,S04,Robledo,2025-04-02,Snacks,4,1800.0,App,,6.27067,-75.59385
T00277,S01,El Poblado,2025-03-02,Pan,5,2500.0,Efectivo,4,6.20903,-75.56869
T00278,S03,Belén,2025-06-08,Snacks,5,3000.0,Tarjeta,4,6.22666,-75.60949
T00279,S08,Castilla,2025-04-22,Pasteles,4,5200.0,App,4,6.2942,-75.57589
T00280,S04,Robledo,2025-01-08,Bebidas,1,4200.0,App,2,6.27307,-75.59158
T00281,S02,Laureles,2025-01-30,Pan,5,3000.0,Efectivo,3,6.24273,-75.5915
